ev,phi0,phi1p,phi2p,phi3p,phi4p,phi5p,phi6p,phi7p,phi8p
201,8,8,8,8,8,8,8,8,8
201,9,9,9,9,9,9,9,9,9
201,10,10,10,10,10,10,10,10,10
201,11,11,11,11,11,11,11,11,11
201,12,12,12,12,12,12,12,12,12
201,13,13,13,13,13,13,13,13,13
201,14,14,14,14,14,14,14,14,14
201,15,15,15,15,15,15,15,15,15
201,16,16,16,16,16,16,16,16,16
201,17,17,17,17,17,17,17,17,17
201,18,18,18,18,18,18,18,18,18
201,19,19,19,19,19,19,19,19,19
201,20,20,20,20,20,20,20,20,20
201,21,21,21,21,21,21,21,21,21
201,22,22,22,22,22,22,22,22,22
201,23,23,23,23,23,23,23,23,23
201,24,24,24,24,24,24,24,24,24
201,25,25,25,25,25,25,25,25,25
201,26,26,26,26,26,26,26,26,26
201,27,27,27,27,27,27,27,27,27
201,28,28,28,28,28,28,28,28,28
201,29,29,29,29,29,29,29,29,29
201,30,30,30,30,30,30,30,30,30
201,31,31,31,31,31,31,31,31,31
201,32,32,32,32,32,32,32,32,32
201,33,33,33,33,33,33,33,33,33
201,34,34,34,34,34,34,34,34,34
201,35,35,35,35,35,35,35,35,35
201,36,36,36,36,36,36,36,36,36
201,37,37,37,37,37,37,37,37,37
201,38,38,38,38,38,38,38,38,38
201,39,39,39,39,39,39,39,39,39
202,0,0,0,0,0,0,0,0,0
202,1,1,1,1,1,1,1,1,1
202,2,2,2,2,2,2,2,2,2
202,3,3,3,3,3,3,3,3,3
202,4,4,4,4,4,4,4,4,4
202,5,5,5,5,5,5,5,5,5
202,6,6,6,6,6,6,6,6,6
202,7,7,7,7,7,7,7,7,7
202,8,8,8,8,8,8,8,8,8
202,9,9,9,9,9,9,9,9,9
202,10,10,10,10,10,10,10,10,10
202,11,11,11,11,11,11,11,11,11
202,12,12,12,12,12,12,12,12,12
202,13,13,13,13,13,13,13,13,13
202,14,14,14,14,14,14,14,14,14
202,15,15,15,15,15,15,15,15,15
202,16,16,16,16,16,16,16,16,16
202,17,17,17,17,17,17,17,17,17
202,18,18,18,18,18,18,18,18,18
202,19,19,19,19,19,19,19,19,19
202,20,20,20,20,20,20,20,20,20
202,21,21,21,21,21,21,21,21,21
202,22,22,22,22,22,22,22,22,22
202,23,23,23,23,23,23,23,23,23
202,24,24,24,24,24,24,24,24,24
202,25,25,25,25,25,25,25,25,25
202,26,26,26,26,26,26,26,26,26
202,27,27,27,27,27,27,27,27,27
202,28,28,28,28,28,28,28,28,28
203,0,0,0,0,0,0,0,0,0
203,1,1,1,1,1,1,1,1,1
203,2,2,2,2,2,2,2,2,2
203,3,3,3,3,3,3,3,3,3
203,4,4,4,4,4,4,4,4,4
203,5,5,5,5,5,5,5,5,5
203,6,6,6,6,6,6,6,6,6
203,7,7,7,7,7,7,7,7,7
203,8,8,8,8,8,8,8,8,8
203,9,9,9,9,9,9,9,9,9
203,10,10,10,10,10,10,10,10,10
203,11,11,11,11,11,11,11,11,11
203,12,12,12,12,12,12,12,12,12
203,13,13,13,13,13,13,13,13,13
203,14,14,14,14,14,14,14,14,14
203,15,15,15,15,15,15,15,15,15
203,16,16,16,16,16,16,16,16,16
203,17,17,17,17,17,17,17,17,17
203,18,18,18,18,18,18,18,18,18
203,19,19,19,19,19,19,19,19,19
203,20,20,20,20,20,20,20,20,20
203,21,21,21,21,21,21,21,21,21
203,22,22,22,22,22,22,22,22,22
203,23,23,23,23,23,23,23,23,23
203,24,24,24,24,24,24,24,24,24
203,25,25,25,25,25,25,25,25,25
203,26,26,26,26,26,26,26,26,26
203,27,27,27,27,27,27,27,27,27
203,28,28,28,28,28,28,28,28,28
203,29,29,29,29,29,29,29,29,29
203,30,30,30,30,30,30,30,30,30
203,31,31,31,31,31,31,31,31,31
203,32,32,32,32,32,32,32,32,32
203,33,33,33,33,33,33,33,33,33
203,34,34,34,34,34,34,34,34,34
203,35,35,35,35,35,35,35,35,35
203,36,36,36,36,36,36,36,36,36
203,37,37,37,37,37,37,37,37,37
203,38,38,38,38,38,38,38,38,38
203,39,39,39,39,39,39,39,39,39
203,40,40,40,40,40,40,40,40,40
203,41,41,41,41,41,41,41,41,41
204,0,0,0,0,0,0,0,0,0
204,1,1,1,1,1,1,1,1,1
204,2,2,2,2,2,2,2,2,2
204,3,3,3,3,3,3,3,3,3
204,4,4,4,4,4,4,4,4,4
204,5,5,5,5,5,5,5,5,5
204,6,6,6,6,6,6,6,6,6
204,7,7,7,7,7,7,7,7,7
204,8,8,8,8,8,8,8,8,8
204,9,9,9,9,9,9,9,9,9
204,10,10,10,10,10,10,10,10,10
204,11,11,11,11,11,11,11,11,11
204,12,12,12,12,12,12,12,12,12
204,13,13,13,13,13,13,13,13,13
204,14,14,14,14,14,14,14,14,14
204,15,15,15,15,15,15,15,15,15
204,16,16,16,16,16,16,16,16,16
204,17,17,17,17,17,17,17,17,17
204,18,18,18,18,18,18,18,18,18
204,19,19,19,19,19,19,19,19,19
204,20,20,20,20,20,20,20,20,20
204,21,21,21,21,21,21,21,21,21
204,22,22,22,22,22,22,22,22,22
204,23,23,23,23,23,23,23,23,23
204,24,24,24,24,24,24,24,24,24
204,25,25,25,25,25,25,25,25,25
204,26,26,26,26,26,26,26,26,26
204,27,27,27,27,27,27,27,27,27
204,28,28,28,28,28,28,28,28,28
204,29,29,29,29,29,29,29,29,29
204,30,30,30,30,30,30,30,30,30
204,31,31,31,31,31,31,31,31,31
204,32,32,32,32,32,32,32,32,32
204,33,33,33,33,33,33,33,33,33
204,34,34,34,34,34,34,34,34,34
204,35,35,35,35,35,35,35,35,35
204,36,36,36,36,36,36,36,36,36
204,37,37,37,37,37,37,37,37,37
204,38,38,38,38,38,38,38,38,38
204,39,39,39,39,39,39,39,39,39
204,40,40,40,40,40,40,40,40,40
204,41,41,41,41,41,41,41,41,41
205,0,0,0,0,0,0,0,0,0
205,1,1,1,1,1,1,1,1,1
205,2,2,2,2,2,2,2,2,2
205,3,3,3,3,3,3,3,3,3
205,4,4,4,4,4,4,4,4,4
205,5,5,5,5,5,5,5,5,5
205,6,6,6,6,6,6,6,6,6
205,7,7,7,7,7,7,7,7,7
205,8,8,8,8,8,8,8,8,8
205,9,9,9,9,9,9,9,9,9
205,10,10,10,10,10,10,10,10,10
205,11,11,11,11,11,11,11,11,11
205,12,12,12,12,12,12,12,12,12
205,13,13,13,13,13,13,13,13,13
205,14,14,14,14,14,14,14,14,14
205,15,15,15,15,15,15,15,15,15
205,16,16,16,16,16,16,16,16,16
205,17,17,17,17,17,17,17,17,17
205,18,18,18,18,18,18,18,18,18
205,19,19,19,19,19,19,19,19,19
205,20,20,20,20,20,20,20,20,20
205,21,21,21,21,21,21,21,21,21
205,22,22,22,22,22,22,22,22,22
205,23,23,23,23,23,23,23,23,23
205,24,24,24,24,24,24,24,24,24
205,25,25,25,25,25,25,25,25,25
205,26,26,26,26,26,26,26,26,26
205,27,27,27,27,27,27,27,27,27
205,28,28,28,28,28,28,28,28,28
205,29,29,29,29,29,29,29,29,29
205,30,30,30,30,30,30,30,30,30
205,31,31,31,31,31,31,31,31,31
205,32,32,32,32,32,32,32,32,32
205,33,33,33,33,33,33,33,33,33
205,34,34,34,34,34,34,34,34,34
205,35,35,35,35,35,35,35,35,35
205,36,36,36,36,36,36,36,36,36
205,37,37,37,37,37,37,37,37,37
205,38,38,38,38,38,38,38,38,38
205,39,39,39,39,39,39,39,39,39
205,40,40,40,40,40,40,40,40,40
205,41,41,41,41,41,41,41,41,41
205,42,42,42,42,42,42,42,42,42
205,43,43,43,43,43,43,43,43,43
205,44,44,44,44,44,44,44,44,44
206,0,0,0,0,0,0,0,0,0
206,1,1,1,1,1,1,1,1,1
206,2,2,2,2,2,2,2,2,2
206,3,3,3,3,3,3,3,3,3
206,4,4,4,4,4,4,4,4,4
206,5,5,5,5,5,5,5,5,5
206,6,6,6,6,6,6,6,6,6
206,7,7,7,7,7,7,7,7,7
206,8,8,8,8,8,8,8,8,8
206,9,9,9,9,9,9,9,9,9
206,10,10,10,10,10,10,10,10,10
206,11,11,11,11,11,11,11,11,11
206,12,12,12,12,12,12,12,12,12
206,13,13,13,13,13,13,13,13,13
206,14,14,14,14,14,14,14,14,14
206,15,15,15,15,15,15,15,15,15
206,16,16,16,16,16,16,16,16,16
206,17,17,17,17,17,17,17,17,17
206,18,18,18,18,18,18,18,18,18
206,19,19,19,19,19,19,19,19,19
206,20,20,20,20,20,20,20,20,20
206,21,21,21,21,21,21,21,21,21
206,22,22,22,22,22,22,22,22,22
206,23,23,23,23,23,23,23,23,23
206,24,24,24,24,24,24,24,24,24
206,25,25,25,25,25,25,25,25,25
206,26,26,26,26,26,26,26,26,26
206,27,27,27,27,27,27,27,27,27
206,28,28,28,28,28,28,28,28,28
206,29,29,29,29,29,29,29,29,29
206,30,30,30,30,30,30,30,30,30
206,31,31,31,31,31,31,31,31,31
206,32,32,32,32,32,32,32,32,32
206,33,33,33,33,33,33,33,33,33
206,34,34,34,34,34,34,34,34,34
206,35,35,35,35,35,35,35,35,35
206,36,36,36,36,36,36,36,36,36
206,37,37,37,37,37,37,37,37,37
206,38,38,38,38,38,38,38,38,38
206,39,39,39,39,39,39,39,39,39
207,0,0,0,0,0,0,0,0,0
207,1,1,1,1,1,1,1,1,1
207,2,2,2,2,2,2,2,2,2
207,3,3,3,3,3,3,3,3,3
207,4,4,4,4,4,4,4,4,4
207,5,5,5,5,5,5,5,5,5
207,6,6,6,6,6,6,6,6,6
207,7,7,7,7,7,7,7,7,7
207,8,8,8,8,8,8,8,8,8
207,9,9,9,9,9,9,9,9,9
207,10,10,10,10,10,10,10,10,10
207,11,11,11,11,11,11,11,11,11
207,12,12,12,12,12,12,12,12,12
207,13,13,13,13,13,13,13,13,13
207,14,14,14,14,14,14,14,14,14
207,15,15,15,15,15,15,15,15,15
207,16,16,16,16,16,16,16,16,16
207,17,17,17,17,17,17,17,17,17
207,18,18,18,18,18,18,18,18,18
207,19,19,19,19,19,19,19,19,19
207,20,20,20,20,20,20,20,20,20
207,21,21,21,21,21,21,21,21,21
207,22,22,22,22,22,22,22,22,22
207,23,23,23,23,23,23,23,23,23
207,24,24,24,24,24,24,24,24,24
207,25,25,25,25,25,25,25,25,25
207,26,26,26,26,26,26,26,26,31
207,27,27,27,27,27,27,27,27,27
207,28,28,28,28,28,28,28,28,28
207,29,29,29,29,29,29,29,29,29
207,30,30,30,30,30,30,30,30,30
207,31,31,31,31,31,31,31,31,26
207,32,32,36,36,36,36,36,36,36
207,33,33,33,33,33,33,33,33,33
207,34,34,34,32,34,34,34,34,34
207,35,35,35,35,35,35,35,35,35
207,36,36,32,34,32,32,32,32,32
207,37,37,37,37,37,37,37,37,37
208,0,0,0,0,0,0,0,0,0
208,1,1,1,1,1,1,1,1,1
208,2,2,2,2,2,2,2,2,2
208,3,3,3,3,3,3,3,3,3
208,4,4,4,4,4,4,4,4,4
208,5,5,5,5,5,5,5,5,5
208,6,6,6,6,6,6,6,6,6
208,7,7,7,7,7,7,7,7,7
208,8,8,8,8,8,8,8,8,8
208,9,9,9,9,9,9,9,9,9
208,10,10,10,10,10,10,10,10,10
208,11,11,11,11,11,11,11,11,11
208,12,12,12,12,12,12,12,12,12
208,13,13,13,13,13,13,13,13,13
208,14,14,14,14,14,14,14,14,14
208,15,15,15,15,15,15,15,15,15
208,16,16,16,16,16,16,16,16,16
208,17,17,17,17,17,17,17,17,17
208,18,18,18,18,18,18,18,18,18
208,19,19,19,19,19,19,19,19,19
208,20,20,20,20,20,20,20,20,20
208,21,21,21,21,21,21,21,21,21
208,22,22,22,22,22,22,22,22,22
208,23,23,23,23,23,23,23,23,23
208,24,24,24,24,24,24,24,24,24
208,25,25,25,25,25,25,25,25,25
208,26,26,26,26,26,26,26,26,26
208,27,27,27,27,27,27,27,27,27
208,28,28,28,28,28,28,28,28,28
208,29,29,29,29,29,29,29,29,29
208,30,30,30,30,30,30,30,30,30
208,31,31,31,31,31,31,31,31,31
208,32,32,32,32,32,32,32,32,32
208,33,33,33,33,33,33,33,33,33
208,34,34,34,34,34,34,34,34,34
208,35,35,35,35,35,35,35,35,35
208,36,36,36,36,36,36,36,36,36
208,37,37,37,37,37,37,37,37,37
208,38,38,38,38,38,38,38,38,38
208,39,39,39,39,39,39,39,39,39
208,40,40,40,40,40,40,40,40,40
209,0,0,0,0,0,0,0,0,0
209,1,1,31,1,1,1,1,1,1
209,2,2,2,2,2,2,2,2,2
209,3,3,13,13,13,13,13,13,13
209,4,4,4,4,4,4,4,4,4
209,5,5,5,5,5,5,5,5,5
209,6,6,6,6,6,6,6,6,6
209,7,7,7,7,7,7,7,7,7
209,8,8,8,8,8,8,8,8,8
209,9,9,9,9,9,9,9,9,9
209,10,10,10,10,10,10,10,10,10
209,11,11,11,11,11,11,11,11,11
209,12,12,12,12,12,12,12,12,12
209,13,13,3,3,3,3,3,3,3
209,14,14,14,14,14,14,14,14,14
209,15,15,15,15,15,15,15,15,15
209,16,16,16,16,16,16,16,16,16
209,17,17,17,17,17,17,17,17,17
209,18,18,18,18,18,18,18,18,18
209,19,19,19,19,19,19,19,19,19
209,20,20,20,20,20,20,20,20,20
209,21,21,21,21,21,21,21,21,21
209,22,22,22,22,22,22,22,22,22
209,23,23,23,23,23,23,23,23,23
209,24,24,24,24,24,24,24,24,24
209,25,25,25,25,25,25,25,25,25
209,26,26,26,26,26,26,26,26,26
209,27,27,27,27,27,27,27,27,27
209,28,28,28,28,28,28,28,28,28
209,29,29,29,29,29,29,29,29,29
209,30,30,30,30,30,30,30,30,30
209,31,31,1,31,31,31,31,31,31
209,32,32,32,32,32,32,32,32,32
209,33,33,33,33,33,33,33,33,33
209,34,34,34,34,34,34,34,34,34
210,0,0,0,0,0,0,0,0,0
210,1,1,1,1,1,1,1,1,1
210,2,23,2,2,2,2,2,2,2
210,3,3,3,3,3,3,3,3,3
210,4,4,4,4,4,4,4,4,4
210,5,5,5,5,5,5,5,5,5
210,6,6,6,6,6,6,6,6,6
210,7,7,7,7,7,7,7,7,7
210,8,8,8,8,8,8,8,8,8
210,9,9,9,9,9,9,9,9,9
210,10,10,10,10,10,10,10,10,10
210,11,11,11,11,11,11,11,11,11
210,12,2,23,23,23,23,23,23,23
210,13,13,13,13,13,13,13,13,13
210,14,14,14,14,14,14,14,14,14
210,15,15,15,15,15,15,15,15,15
210,16,16,16,16,16,16,16,16,16
210,17,17,17,17,17,17,17,17,17
210,18,18,18,18,18,18,18,18,18
210,19,19,19,19,19,19,19,19,19
210,20,20,20,20,37,20,20,20,20
210,21,21,21,21,21,21,21,21,21
210,22,22,22,22,22,22,22,22,22
210,23,12,12,12,12,12,12,12,12
210,24,24,24,24,24,24,24,24,24
210,25,25,25,25,25,25,25,25,25
210,26,26,26,26,26,26,26,26,26
210,27,27,27,27,27,27,27,27,27
210,28,28,28,28,28,28,28,28,28
210,29,29,29,29,29,29,29,29,29
210,30,30,30,30,30,30,30,30,30
210,31,31,31,31,31,31,31,31,31
210,32,32,32,32,32,32,32,32,32
210,33,33,33,33,33,33,33,33,33
210,34,34,34,34,34,34,34,34,34
210,35,35,35,35,35,35,35,35,35
210,36,43,43,43,43,43,43,43,43
210,37,37,37,37,20,37,37,37,37
210,38,38,38,38,38,38,38,38,38
210,39,39,39,39,39,39,39,39,39
210,40,40,40,40,40,40,40,40,40
210,41,41,41,41,41,41,41,41,41
210,42,42,42,42,42,42,42,42,42
210,43,36,36,36,36,36,36,36,36
211,0,0,0,0,0,0,0,0,0
211,1,1,1,1,1,1,1,1,1
211,2,2,2,2,2,2,2,2,2
211,3,3,3,3,3,3,3,3,3
211,4,4,4,4,4,4,4,4,4
211,5,5,5,5,5,5,5,5,5
211,6,6,6,6,6,6,6,6,6
211,7,7,7,7,7,7,7,7,7
211,8,8,8,8,8,8,8,8,8
211,9,9,9,9,9,9,9,9,9
211,10,10,10,10,10,10,10,10,10
211,11,11,11,11,11,11,11,11,11
211,12,12,12,12,12,12,12,12,12
211,13,13,13,13,13,13,13,13,13
211,14,14,14,14,14,14,14,14,14
211,15,15,15,15,15,15,15,15,15
211,16,16,16,16,16,16,16,16,16
211,17,17,17,17,17,17,17,17,17
211,18,18,18,18,18,18,22,18,18
211,19,19,19,19,19,19,19,19,19
211,20,20,20,20,20,20,20,20,20
211,21,21,21,21,21,21,21,21,21
211,22,22,22,22,22,22,18,22,22
211,23,23,23,23,23,23,23,23,23
211,24,24,24,24,24,24,24,24,24
211,25,25,25,25,25,25,25,25,25
211,26,26,26,26,26,26,26,26,26
211,27,27,27,27,27,27,27,27,27
211,28,29,29,29,29,29,29,29,29
211,29,28,28,28,28,28,28,28,28
211,30,30,30,30,30,30,30,30,30
211,31,31,31,31,31,31,31,31,31
211,32,32,32,32,32,32,32,32,32
211,33,33,33,33,33,33,33,33,33
211,34,34,34,34,34,34,34,34,34
211,35,35,35,35,35,35,35,35,35
211,36,36,36,36,36,36,36,36,36
211,37,37,37,37,37,37,37,37,37
211,38,38,38,38,38,38,38,38,38
211,39,39,39,39,39,39,39,39,39
211,40,40,40,40,40,40,40,40,40
211,41,41,41,41,41,41,41,41,41
212,0,0,0,0,0,0,0,0,0
212,1,1,1,1,1,1,1,1,1
212,2,2,2,2,2,2,2,2,2
212,3,3,3,3,3,3,3,3,3
212,4,4,4,4,4,4,4,4,4
212,5,5,5,5,5,5,5,5,5
212,6,6,6,6,6,6,6,6,6
212,7,7,7,7,7,7,7,7,7
212,8,8,8,8,8,8,8,8,8
212,9,9,9,9,9,9,9,9,9
212,10,10,10,10,10,10,10,10,10
212,11,11,11,11,11,11,11,11,11
212,12,12,12,12,12,12,12,12,12
212,13,13,13,13,13,13,13,13,13
212,14,14,14,14,14,14,14,14,14
212,15,15,15,15,15,15,15,15,15
212,16,16,16,16,16,16,16,16,16
212,17,17,17,17,17,17,17,17,17
212,18,18,18,18,18,18,18,18,18
212,19,19,19,19,19,19,19,19,19
212,20,20,20,20,20,20,20,20,20
212,21,21,21,21,21,21,21,21,21
212,22,22,22,22,22,22,22,22,22
212,23,23,23,23,23,23,23,23,23
212,24,24,24,24,24,24,24,24,24
212,25,25,25,25,25,25,25,25,25
212,26,26,26,26,26,26,26,26,26
212,27,27,27,27,27,27,27,27,27
212,28,28,28,28,28,28,28,28,28
212,29,29,29,29,29,29,29,29,29
212,30,30,30,30,30,30,30,30,30
212,31,31,31,31,31,31,31,31,31
212,32,32,32,32,32,32,32,32,32
212,33,33,33,33,33,33,33,33,33
213,0,0,0,0,0,0,0,0,0
213,1,1,1,1,1,1,1,1,1
213,2,2,2,2,2,2,2,2,2
213,3,3,3,3,3,3,3,3,3
213,4,4,4,4,4,4,4,4,4
213,5,5,5,5,5,5,5,5,5
213,6,6,6,6,6,6,6,6,6
213,7,7,7,7,7,7,7,7,7
213,8,8,8,8,8,8,8,8,8
213,9,9,9,9,9,9,9,9,9
213,10,10,10,10,10,10,10,10,10
213,11,11,11,11,11,11,11,11,11
213,12,12,12,12,12,12,12,12,12
213,13,13,13,13,13,13,13,13,13
213,14,14,14,14,14,14,14,14,14
213,15,15,15,15,15,15,15,15,15
213,16,16,16,16,16,16,16,16,16
213,17,17,17,17,17,17,17,17,17
213,18,18,18,18,18,18,18,18,18
213,19,19,19,19,19,19,19,19,19
213,20,20,20,20,20,20,20,20,20
213,21,21,21,21,21,32,21,21,21
213,22,22,22,22,22,22,22,22,22
213,23,23,23,23,23,23,23,23,23
213,24,24,24,24,24,24,24,24,24
213,25,25,25,25,25,25,25,25,25
213,26,26,26,26,26,26,26,26,26
213,27,27,27,27,27,27,27,27,27
213,28,28,28,28,28,28,28,28,28
213,29,29,29,29,29,29,29,29,29
213,30,30,30,30,30,30,30,30,30
213,31,31,31,31,31,31,31,31,31
213,32,32,32,32,32,21,32,32,32
213,33,33,33,33,33,33,33,33,33
213,34,34,34,34,34,34,34,34,34
213,35,35,35,35,35,35,35,35,35
213,36,36,36,36,36,36,36,36,36
214,0,0,0,0,0,0,0,0,0
214,1,24,24,24,24,24,24,24,24
214,2,2,2,2,2,2,2,2,2
214,3,3,3,3,3,3,3,3,3
214,4,4,4,4,4,4,4,4,4
214,5,5,5,5,5,5,5,5,5
214,6,6,6,6,6,6,6,6,6
214,7,7,7,7,7,7,7,7,7
214,8,8,8,8,8,8,8,8,8
214,9,16,16,16,16,16,16,16,16
214,10,10,10,10,10,10,10,10,10
214,11,11,11,11,11,11,11,11,11
214,12,12,12,12,12,12,12,12,12
214,13,13,13,13,13,13,13,13,13
214,14,14,14,14,14,14,14,14,14
214,15,15,15,15,15,15,15,15,15
214,16,9,30,9,9,9,9,9,9
214,17,17,17,17,17,17,17,17,17
214,18,18,18,18,18,18,18,18,18
214,19,19,19,19,19,19,19,19,19
214,20,20,20,20,20,20,20,20,20
214,21,21,21,21,21,21,21,21,21
214,22,22,22,22,22,22,22,22,22
214,23,23,23,23,23,23,23,23,23
214,24,40,1,1,1,1,39,1,1
214,25,25,25,25,25,25,25,25,25
214,26,26,26,26,26,26,26,26,26
214,27,27,27,27,27,27,27,27,27
214,28,28,28,28,28,28,28,28,28
214,29,29,29,29,29,29,29,29,29
214,30,30,9,30,30,30,30,30,30
214,31,31,31,31,31,31,31,31,31
214,32,32,32,32,32,32,32,32,32
214,33,33,33,33,33,33,33,33,33
214,34,34,34,34,34,34,34,34,34
214,35,35,35,35,35,35,35,35,35
214,36,36,36,36,36,36,36,36,36
214,37,37,37,37,37,37,37,37,37
214,38,38,38,38,38,38,38,38,38
214,39,39,39,39,39,39,1,39,39
214,40,1,40,40,40,40,40,40,40
215,0,0,0,0,0,0,0,0,0
215,1,1,1,1,1,1,1,1,1
215,2,2,2,2,2,2,2,2,2
215,3,3,3,3,3,3,3,3,3
215,4,4,4,4,4,4,4,4,4
215,5,5,5,5,5,5,5,5,5
215,6,6,6,6,6,6,6,6,6
215,7,7,7,7,7,7,7,7,7
215,8,8,8,8,8,8,8,8,8
215,9,9,9,9,9,9,9,9,9
215,10,10,10,10,10,10,10,10,10
215,11,11,11,11,11,11,11,11,11
215,12,12,12,12,12,12,12,12,12
215,13,13,13,13,13,13,13,13,13
215,14,14,14,14,14,14,14,14,14
215,15,15,15,15,15,15,15,15,15
215,16,16,16,16,16,16,16,16,16
215,17,17,17,17,17,17,17,17,17
215,18,18,18,18,18,18,18,18,18
215,19,19,19,19,19,19,19,19,19
215,20,20,24,24,24,24,24,24,24
215,21,21,21,21,21,21,21,21,21
215,22,22,22,22,22,22,22,22,22
215,23,23,23,23,23,23,23,23,23
215,24,24,20,20,20,20,20,20,20
215,25,25,25,25,25,25,25,25,25
215,26,26,26,26,26,26,26,26,26
215,27,27,27,27,27,27,27,27,27
215,28,28,28,28,28,28,28,28,28
215,29,29,29,29,29,29,29,29,29
215,30,30,30,30,30,30,30,30,30
215,31,31,31,31,31,31,31,31,31
215,32,32,32,32,32,32,32,32,32
215,33,33,33,33,33,33,33,33,33
215,34,34,34,34,34,34,34,34,34
215,35,35,35,35,35,35,35,35,35
215,36,36,36,36,36,36,36,36,36
215,37,37,37,37,37,37,37,37,37
215,38,38,38,38,38,38,38,38,38
215,39,39,39,39,39,39,39,39,39
215,40,40,40,40,40,40,40,40,40
216,0,0,0,0,0,0,0,0,0
216,1,1,1,1,1,1,1,1,1
216,2,2,2,2,2,2,2,2,2
216,3,3,30,3,3,3,3,3,3
216,4,4,4,4,4,4,4,4,4
216,5,25,25,25,25,25,25,25,25
216,6,6,6,6,6,6,6,6,6
216,7,7,7,7,7,7,7,7,7
216,8,8,8,8,8,8,8,8,8
216,9,9,9,9,9,9,9,9,9
216,10,10,10,10,10,10,10,10,10
216,11,11,11,11,11,11,11,11,11
216,12,12,12,12,12,12,12,12,12
216,13,13,13,13,13,13,13,13,13
216,14,14,14,14,14,14,14,14,14
216,15,15,15,15,15,15,15,15,15
216,16,16,16,16,16,16,16,16,16
216,17,17,17,17,17,17,17,17,17
216,18,18,18,18,18,18,18,18,18
216,19,19,19,19,19,19,19,19,19
216,20,20,20,20,20,20,20,20,20
216,21,21,21,21,21,21,21,21,21
216,22,22,22,22,22,22,22,22,22
216,23,23,23,23,23,23,23,23,23
216,24,24,24,24,24,24,24,24,24
216,25,5,5,5,5,5,5,5,5
216,26,26,26,26,26,26,26,26,26
216,27,27,27,27,27,27,27,27,27
216,28,28,28,28,28,28,28,28,28
216,29,29,29,29,29,29,29,29,29
216,30,30,3,30,30,30,30,30,30
216,31,31,31,31,31,31,31,31,31
216,32,32,32,32,32,32,32,32,32
216,33,33,33,33,33,33,33,33,33
216,34,34,34,34,34,34,34,34,34
216,35,35,35,35,35,35,35,35,35
216,36,36,36,36,36,36,36,36,36
216,37,37,37,37,37,37,37,37,37
216,38,38,38,38,38,38,38,38,38
216,39,39,39,39,39,39,39,39,39
216,40,40,40,40,40,40,40,40,40
216,41,41,41,41,41,41,41,41,41
216,42,42,42,42,42,42,42,42,42
217,0,0,0,0,0,0,0,0,0
217,1,1,1,1,1,1,1,1,1
217,2,2,2,2,2,2,2,2,2
217,3,3,3,3,3,3,3,3,3
217,4,4,4,4,4,4,4,4,4
217,5,5,7,5,5,5,5,5,5
217,6,6,6,6,6,6,6,6,6
217,7,7,5,7,7,7,7,7,7
217,8,8,8,8,8,8,8,8,8
217,9,20,20,20,20,20,20,20,20
217,10,10,10,10,10,10,10,10,10
217,11,11,11,11,11,11,11,11,11
217,12,12,12,12,12,12,12,12,12
217,13,13,13,13,13,13,13,13,13
217,14,14,14,14,14,14,14,14,14
217,15,15,15,15,15,15,15,15,15
217,16,16,16,16,16,16,16,16,16
217,17,17,17,17,17,17,17,17,17
217,18,18,18,18,18,18,18,18,18
217,19,19,19,19,19,19,19,19,19
